ORIENTACION,ALTITUD,COD_EJEMPLAR,COD_INTERNO,ESPECIE_EPITETO,FAMILIA,PRODECENCIA,GENERO,ESPECIE,SUBESPECIE,
PUERTO CANDELEDA,,295 DEMB16,59,Aira caryophyllea,POACEAE,GR,Aira,caryophyllea,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,181DEMB16,60,Veronica nevadensis 1,PLANTAGINACEAE,SN,Veronica,nevadensis,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,169DEMB16,61,Carex lepidocarpa subsp. nevadensis 2,CYPERACEAE,SN,Carex,lepidocarpa,nevadensis,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,206DEMB16,62,Ranunculus angustifolia subsp. alismoides,RANUNCULACEAE,SN,Ranunculus,angustifolia,alismoides,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,205DEMB16,63,Veronica nevadensis 2,PLANTAGINACEAE,SN,Veronica,nevadensis,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,195DEMB16,64,Campanula herminii 1,CAMPANULACEAE,SN,Campanula,herminii,,
"Nacimiento rio Villar, Laguna Yeguas NORTE",2830,211DEMB16,65,Cerastium cerastioides 1,CARYOPHYLLACEAE,SN,Cerastium,cerastioides,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,186DEMB16,66,Myosotis stricta ,BORAGINACEAE,SN,Myosotis,stricta,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,155DEMB16,67,Carex caryophyllea ,CYPERACEAE,SN,Carex,caryophyllea,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,158DEMB16,68,Scorzoneroides microcephala 1,ASTERACEAE,SN,Scorzoneroides,microcephala,,
"CAPILEIRA, REFUGIO POQUEIRA SUR",2630,184DEMB16,69,Rumex acetosa ,POLYGONACEAE,SN,Rumex,acetosa,,
PUERTO CANDELEDA,,309 DEMB16,70,Cardus carpetanus,ASTERACEAE,GR,Cardus,carpetanus,,
PUERTO CANDELEDA,,310 DEMB16,71,Epilobium collinum,ONAGRACEAE,GR,Epilobium,collinum,,
PUERTO CANDELEDA,,306 DEMB16,72,Lotus corniculatus,FABACEAE,GR,Lotus,corniculatus,,
PUERTO CANDELEDA,,304 DEMB16,73,Logfia  minima,ASTERACEAE,GR,Logfia ,minima,,
PUERTO CANDELEDA,,301 DEMB16,74,Teesdalia nudicaulis,BRASSICACEAE,GR,Teesdalia,nudicaulis,,
PRADO DE LAS POZAS,,328 DEMB16,75,Spergula morisonii,CARYOPHYLLACEAE,GR,Spergula,morisonii,,
PRADO DE LAS POZAS,,329 DEMB16,76,Epilobium lanceolatum,ONAGRACEAE,GR,Epilobium,lanceolatum,,
PRADO DE LAS POZAS,,330 DEMB16,77,Conopodium majus subsp. montianum,APIACEAE,GR,Conopodium,majus,montianum,
PRADO DE LAS POZAS,,332 DEMB16,78,Campanula herminii 1,CAMPANULACEAE,GR,Campanula,herminii,,
PUERTO CANDELEDA,,299 DEMB16,79,Narcissus nivalis,AMARYLLIDACEAE,GR,Narcissus,nivalis,,
PRADO DE LAS POZAS,,327 DEMB16,80,Ranunculus ollissiponensis,RANUNCULACEAE,GR,Ranunculus,ollissiponensis,,
PRADO DE LAS POZAS,,323 DEMB16,81,Festuca iberica,POACEAE,GR,Festuca,iberica,,
PUERTO CANDELEDA,,291 DEMB16,82,Sedum pedicellatum,CRASSULACEAE,GR,Sedum,pedicellatum,,
PUERTO CANDELEDA,,305 DEMB16,83,Micropyrum tenellum,POACEAE,GR,Micropyrum,tenellum,,
PRADO DE LAS POZAS,,325 DEMB16,84,Festuca gredensis,POACEAE,GR,Festuca,gredensis,,
PUERTO CANDELEDA,,286 DEMB16,85,Holcus gayanus,POACEAE,GR,Holcus,gayanus,,
PUERTO CANDELEDA,,287 DEMB16,86,Agrostis canina,POACEAE,GR,Agrostis,canina,,
PUERTO CANDELEDA,,302 DEMB16,87,Juncus effusus,JUNCACEAE,GR,Juncus,effusus,,
PRADO DE LAS POZAS,,317 DEMB16,88,Poa bulbosa,POACEAE,GR,Poa,bulbosa,,
